canonicalKey,colorHex,description
01:1,#0052A4,수도권 1호선
01:2,#00A84D,수도권 2호선
01:3,#EF7C1C,수도권 3호선
01:4,#00A5DE,수도권 4호선
01:5,#996CAC,수도권 5호선
01:6,#CD7C2F,수도권 6호선
01:7,#747F00,수도권 7호선
01:8,#E6186C,수도권 8호선
01:9,#BDB092,서울 9호선
01:A1,#0090D2,공항철도
01:K1,#F5A200,수인분당선
01:K2,#0C8E72,경춘선
01:K4,#77C4A3,경의중앙선
01:K5,#003DA5,경강선
01:G1,#A17800,김포골드라인
01:D1,#D4003B,신분당선
01:L1,#6789CA,신림선
01:E1,#56AD2D,용인에버라인
01:UI,#B0CE18,우이신설선
01:U1,#FDA600,의정부 경전철
01:I1,#7CA8D5,인천1호선
01:I2,#ED8B00,인천2호선
01:M1,#FFCD12,자기부상
01:WS,#8FC31F,서해선
02:1,#F06A00,부산1호선
02:2,#81BF48,부산2호선
02:3,#BB8C00,부산3호선
02:4,#217DCB,부산4호선
02:B1,#8652A1,부산김해경전철
03:1,#D93F5C,대구1호선
03:2,#00AA80,대구2호선
03:3,#FFB100,대구3호선
04:1,#009088,광주1호선
05:1,#007448,대전1호선
