canonicalKey,canonicalName,lnCd,mreaWideCd,role,sourceLineNumber,sourceLineName,origin,terminal,routeStopCount,lowConfidenceCount,firstStation,lastStation,confidenceSummary,matchStatusSummary
01:K5,경강선,K5,01,main,I41K5,경강선,판교,여주,12,0,판교역,여주역,"{""high"":12}","{""exact"":12}"
01:K4,경의중앙선,K4,01,main,I4108,경의·중앙선,용문,문산,47,0,임진강역,지평역,"{""high"":45,""medium"":2}","{""exact"":47}"
01:K2,경춘선,K2,01,main,I41K2,경춘선,상봉,춘천,19,0,신내역,춘천역,"{""high"":19}","{""exact"":19}"
01:A1,공항철도,A1,01,main,I28A1,인천국제공항선,서울,인천공항2터미널,14,0,서울,인천공항2터미널,"{""high"":14}","{""exact"":14}"
01:G1,김포골드라인,G1,01,main,L41G1,김포도시철도,양촌역,김포공항역,10,0,양촌역,김포공항역,"{""medium"":10}","{""name-based"":10}"
01:1,1호선,1,01,main,I4101,수도권 광역철도 1호선,청량리(서울시립대입구),서울역,10,0,청량리(서울시립대입구),서울역,"{""medium"":10}","{""name-based"":10}"
01:1,1호선,1,01,branch,I4102,경원선,청량리,소요산,28,0,청량리역,연천역,"{""high"":28}","{""exact"":28}"
01:1,1호선,1,01,branch,I1101,경인선,구로,인천,20,0,구일역,인천역,"{""high"":18,""medium"":2}","{""exact"":19,""name-based"":1}"
01:1,1호선,1,01,branch,I4101,경부선,서울,신창,38,0,서울역,두정역,"{""medium"":1,""high"":37}","{""name-based"":1,""exact"":37}"
01:2,2호선,2,01,main,S1102,수도권 도시철도 2호선,성수,성수,43,0,시청,충정로(경기대입구),"{""medium"":43}","{""name-based"":43}"
01:2,2호선,2,01,branch,S1121,수도권 도시철도 2호선,성수,신설동,4,0,용답,신설동,"{""high"":4}","{""normalized-code"":4}"
01:2,2호선,2,01,branch,S1122,수도권 도시철도 2호선,신도림,까치산,3,0,도림천,신정네거리,"{""high"":3}","{""normalized-code"":3}"
01:3,3호선,3,01,main,I1103,수도권 광역철도 3호선,지축,오금,34,0,지축,오금,"{""medium"":34}","{""name-based"":34}"
01:4,4호선,4,01,main,I1104,수도권 광역철도 4호선,불암산,남태령,26,0,불암산,남태령,"{""medium"":26}","{""name-based"":26}"
01:4,4호선,4,01,branch,I4103,안산·과천선,남태령,오이도,21,0,선바위역,오이도역,"{""high"":21}","{""exact"":21}"
