canonicalKey,canonicalName,lnCd,mreaWideCd,branchCount,routeStopCount,lowConfidenceCount,firstStation,lastStation,sourceLineNumbers,confidenceSummary,matchStatusSummary
01:K5,경강선,K5,01,1,12,0,판교역,여주역,I41K5,"{""high"":12}","{""exact"":12}"
01:K4,경의중앙선,K4,01,1,47,0,임진강역,지평역,I4108,"{""high"":45,""medium"":2}","{""exact"":47}"
01:K2,경춘선,K2,01,1,19,0,신내역,춘천역,I41K2,"{""high"":19}","{""exact"":19}"
01:A1,공항철도,A1,01,1,14,0,서울,인천공항2터미널,I28A1,"{""high"":14}","{""exact"":14}"
01:G1,김포골드라인,G1,01,1,10,0,양촌역,김포공항역,L41G1,"{""medium"":10}","{""name-based"":10}"
01:1,1호선,1,01,4,104,8,청량리(서울시립대입구),신창(순천향대)역,I4101|I4102|I1101,"{""medium"":13,""high"":83,""low"":8}","{""name-based"":20,""exact"":84}"
01:2,2호선,2,01,3,51,1,시청,까치산,S1102|S1121|S1122,"{""medium"":43,""high"":7,""low"":1}","{""name-based"":44,""normalized-code"":7}"
01:3,3호선,3,01,1,34,0,지축,오금,I1103,"{""medium"":34}","{""name-based"":34}"
01:4,4호선,4,01,2,47,0,불암산,오이도역,I1104|I4103,"{""medium"":26,""high"":21}","{""name-based"":26,""exact"":21}"
01:5,5호선,5,01,1,56,0,방화,마천,S1105,"{""medium"":49,""high"":7}","{""name-based"":49,""exact"":7}"
01:6,6호선,6,01,1,39,0,응암,신내,S1106,"{""medium"":39}","{""name-based"":39}"
01:7,7호선,7,01,2,53,0,장암,석남역,S1107,"{""medium"":42,""high"":11}","{""name-based"":42,""exact"":11}"
01:8,8호선,8,01,2,21,0,암사역사공원,별내,S1108|S4108,"{""medium"":19,""high"":2}","{""name-based"":19,""exact"":2}"
01:9,9호선,9,01,1,38,0,개화,중앙보훈병원,S1109,"{""high"":38}","{""exact"":38}"
01:K1,수인분당선,K1,01,2,53,35,고색역,수원역,I28K1,"{""high"":18,""low"":35}","{""exact"":18,""name-based"":35}"
01:D1,신분당선,D1,01,1,16,0,신사,광교,I11D1,"{""medium"":16}","{""name-based"":16}"
01:L1,신림선,L1,01,1,11,0,샛강,관악산,L11SL,"{""high"":11}","{""exact"":11}"
01:E1,용인에버라인,E1,01,1,15,0,기흥(백남준아트센터),전대·에버랜드,L41E1,"{""high"":15}","{""exact"":15}"
01:UI,우이신설선,UI,01,1,13,0,북한산우이,신설동,L11UI,"{""high"":13}","{""exact"":13}"
01:U1,의정부 경전철,U1,01,1,15,0,발곡,탑석,L41U1,"{""high"":15}","{""exact"":15}"
01:I1,인천1호선,I1,01,1,30,0,계양역,송도달비축제공원역,S2801,"{""high"":30}","{""exact"":30}"
01:I2,인천2호선,I2,01,1,27,0,검단오류역,운연역,S2802,"{""high"":27}","{""exact"":27}"
01:M1,자기부상,M1,01,1,6,0,인천공항1터미널역,용유역,S28M1,"{""high"":6}","{""exact"":6}"
01:WS,서해선,WS,01,1,15,0,김포공항역,원시역,I41WS,"{""high"":15}","{""exact"":15}"
02:1,부산1호선,1,02,1,40,0,다대포해수욕장,노포,S2601,"{""high"":40}","{""exact"":40}"
02:2,부산2호선,2,02,1,43,0,장산,양산,S2602,"{""high"":43}","{""exact"":43}"
02:3,부산3호선,3,02,1,17,0,수영,대저,S2603,"{""high"":17}","{""exact"":17}"
02:4,부산4호선,4,02,1,14,0,미남,안평,L2604,"{""high"":14}","{""exact"":14}"
02:B1,부산김해경전철,B1,02,1,21,0,사상,가야대,L48B1,"{""medium"":21}","{""name-based"":21}"
03:1,대구1호선,1,03,1,35,0,설화명곡,하양(대구가톨릭대),S2701,"{""high"":35}","{""exact"":35}"
03:2,대구2호선,2,03,1,29,0,문양,영남대,S2702,"{""high"":29}","{""exact"":29}"
03:3,대구3호선,3,03,1,30,0,칠곡경대병원,용지,S2703,"{""high"":30}","{""exact"":30}"
04:1,광주1호선,1,04,1,20,0,녹동,평동,S2901,"{""medium"":20}","{""name-based"":20}"
05:1,대전1호선,1,05,1,22,0,판암,반석,S3001,"{""high"":22}","{""exact"":22}"
