canonicalKey,canonicalName,branchId,role,sourceLineNumber,sourceLineName,sequence,sourceStationCode,displayNameKo,stationId,matchStatus,confidence,diagnostics,sourceCandidateId
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,39,1728,천안역,candidate:kric:urban-rail-station:I4401:1728:row-979,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:39
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,40,1401,봉명역,candidate:kric:urban-rail-station:I4401:1401:row-453,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:40
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,41,1402,쌍용(나사렛대)역,candidate:kric:urban-rail-station:I4401:1402:row-702,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:41
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,42,1403,아산역,candidate:kric:urban-rail-station:I4401:1403:row-705,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:42
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,43,1404,탕정역,candidate:kric:urban-rail-station:I4401:1404:row-1020,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:43
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,44,1405,배방역,candidate:kric:urban-rail-station:I4401:1405:row-421,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:44
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,45,1407,온양온천역,candidate:kric:urban-rail-station:I4401:1407:row-795,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:45
01:1,1호선,01:1:branch:I4101:경부선:3,branch,I4101,경부선,46,1408,신창(순천향대)역,candidate:kric:urban-rail-station:I4401:1408:row-689,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I4101:46
01:2,2호선,01:2:branch:S1122:수도권 도시철도 2호선:2,branch,S1122,수도권 도시철도 2호선,4,234-4,까치산,candidate:kric:urban-rail-station:S1105:0518:row-180,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:S1122:4
01:K1,수인분당선,01:K1:branch:I28K1:분당선:1,branch,I28K1,분당선,1,1847,서울숲역,candidate:kric:urban-rail-station:I4105:1847:row-553,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I28K1:1
01:K1,수인분당선,01:K1:branch:I28K1:분당선:1,branch,I28K1,분당선,2,1848,압구정로데오역,candidate:kric:urban-rail-station:I4105:1848:row-723,name-based,low,matched-by-global-normalized-name; matched-by-normalized-name,candidate:kric:urban-rail-route-stop:I28K1:2
