matchStatus,confidence,lineNumber,sourceStationCode,routeStopNameKo,selectedStationNumber,selectedStationNameKo,selectedStationCandidateId,candidateStationMatches,diagnostics,stopCandidateId
"exact","high","I28A1","A01","서울","A01","서울","candidate:kric:urban-rail-station:I28A1:A01:row-556","candidate:kric:urban-rail-station:I28A1:A01:row-556","","candidate:kric:urban-rail-route-stop:I28A1:1"
"exact","high","I28A1","A02","공덕","A02","공덕","candidate:kric:urban-rail-station:I28A1:A02:row-94","candidate:kric:urban-rail-station:I28A1:A02:row-94","","candidate:kric:urban-rail-route-stop:I28A1:2"
"exact","high","I28A1","A03","홍대입구","A03","홍대입구","candidate:kric:urban-rail-station:I28A1:A03:row-1079","candidate:kric:urban-rail-station:I28A1:A03:row-1079","","candidate:kric:urban-rail-route-stop:I28A1:3"
"exact","high","I28A1","A04","디지털미디어시티","A04","디지털미디어시티","candidate:kric:urban-rail-station:I28A1:A04:row-338","candidate:kric:urban-rail-station:I28A1:A04:row-338","","candidate:kric:urban-rail-route-stop:I28A1:4"
"exact","high","I28A1","A042","마곡나루","A042","마곡나루","candidate:kric:urban-rail-station:I28A1:A042:row-343","candidate:kric:urban-rail-station:I28A1:A042:row-343","","candidate:kric:urban-rail-route-stop:I28A1:5"
"exact","high","I28A1","A05","김포공항","A05","김포공항","candidate:kric:urban-rail-station:I28A1:A05:row-175","candidate:kric:urban-rail-station:I28A1:A05:row-175","","candidate:kric:urban-rail-route-stop:I28A1:6"
"exact","high","I28A1","A06","계양","A06","계양","candidate:kric:urban-rail-station:I28A1:A06:row-73","candidate:kric:urban-rail-station:I28A1:A06:row-73","","candidate:kric:urban-rail-route-stop:I28A1:7"
"exact","high","I28A1","A07","검암","A07","검암","candidate:kric:urban-rail-station:I28A1:A07:row-59","candidate:kric:urban-rail-station:I28A1:A07:row-59","","candidate:kric:urban-rail-route-stop:I28A1:8"
"exact","high","I28A1","A071","청라국제도시","A071","청라국제도시","candidate:kric:urban-rail-station:I28A1:A071:row-988","candidate:kric:urban-rail-station:I28A1:A071:row-988","","candidate:kric:urban-rail-route-stop:I28A1:9"
"exact","high","I28A1","A072","영종","A072","영종","candidate:kric:urban-rail-station:I28A1:A072:row-774","candidate:kric:urban-rail-station:I28A1:A072:row-774","","candidate:kric:urban-rail-route-stop:I28A1:10"
